pff_PLAYERNAME,Season,TotalBoxPM,TotalPassBoxPM,TotalRunBoxPM,PassPM,PassBoxPM,RunPM,RunBoxPM,PlayerID,Position,PlayerName,team,position,TotalEPAR,PassEPAR,RunEPAR,plays
Mecole Hardman,2022,7.0862384,1.2538118,5.8324266,0.02252920684526726,0.0055234,0.05641149143641525,0.06480474,47839,WR,Mecole Hardman,KC,WR,5.72114398214185,6.461512455089489,-0.7403684729476386,323
Jalen Reagor,2021,6.980565649999999,-15.00994795,21.9905136,-0.03387151897538833,-0.02914553,0.04201130594786163,0.07635595,52429,WR,Jalen Reagor,PHI,WR,-11.997330749613672,-13.424874208050873,1.4275434584372007,833
Steven Sims,2022,6.979439809999999,-3.72918394,10.70862375,-0.01452971109664586,-0.02360243,0.05012933114955601,0.08566899,48051,WR,Steven Sims,PIT,WR,-5.195089087663587,-7.965326417684163,2.7702373300205756,359
Tim Patrick,2020,6.84272049,-2.0761647,8.91888519,0.01743002431056185,-0.00457305,0.04845535368579248,0.03064909,45267,WR,Tim Patrick,DEN,WR,23.56937648160039,24.442006337085402,-0.872629855485012,734
Cedrick Wilson,2021,6.8372177,-2.88244568,9.71966338,-0.01360674290638834,-0.00683044,0.07516539704883282,0.06037058,46277,WR,Cedrick Wilson,DAL,WR,20.336989741739114,18.95251183934124,-1.407473263848566,638
Travis Benjamin,2017,6.830774830000001,-1.5748760000000002,8.40565083,-0.01761502320559087,-0.00393719,0.05669631507178196,0.05156841,38630,WR,Travis Benjamin,LAC,WR,15.666844032208562,17.226951710277802,-1.5601076780692409,595
N'Keal Harry,2019,6.809718200000001,-2.8036368,9.613355,-0.05250501140263926,-0.0173064,0.06872266737109492,0.09613355,47815,WR,N'Keal Harry,NE,WR,1.5074220788954313,0.05064971910591842,1.456772359789513,261
Breshad Perriman,2018,6.7731449900000005,1.38760795,5.38553704,0.0195303080489266,0.00956971,0.03356578454856161,0.07377448,42369,WR,Breshad Perriman,CLV,WR,8.877264967135297,8.728490471841006,0.14877449529428968,354
Tajae Sharpe,2016,6.733707219999999,-8.50071258,15.2344198,-0.00145210210385175,-0.01628489,0.06662665285985617,0.05684485,43429,WR,Tajae Sharpe,TEN,WR,8.454948344433157,8.519800102252274,-0.06485175781911669,833
Jermaine Kearse,2015,6.73204422,-5.69239968,12.4244439,0.00870308845209565,-0.00961554,0.05057090496406693,0.04359454,39141,WR,Jermaine Kearse,SEA,WR,3.1911036442186282,3.2363758208641613,-0.045272176645533416,915
