pff_PLAYERNAME,Season,Position,TotalBoxPM,TotalPassBoxPM,TotalRunDBoxPM,PassPM,PassBoxPM,PlayerID,RunDPM,RunDBoxPM,PlayerName,team,position,TotalEPAR,PassEPAR,RunDEPAR,plays
Kendall Fuller,2018,CB,-35.070488250000004,-51.40976348,16.33927523,-0.04694387715342688,-0.06458513,43373,0.05528037267737553,0.03881063,Kendall Fuller,KC,CB,-20.783829524192935,-19.541723932648267,-1.24210559154467,1289
Mike Hilton,2021,CB,-34.83878976,-47.100532699999995,12.26174294,-0.0545422398729255,-0.06246755,43641,0.03690711213362416,0.04426622,Mike Hilton,CIN,CB,-27.858710177615045,-19.1237677209339,-8.734942456681145,1029
Jalen Ramsey,2017,CB,-34.24819644,-35.617504950000004,1.36930851,-0.06884899057621598,-0.04655883,43294,0.00381301988492449,0.00306333,Jalen Ramsey,JAX,CB,-48.93805262543631,-49.43545378518965,0.4974011597533369,1199
Sean Murphy-Bunting,2020,CB,-33.59849731,-42.47881144,8.88031413,-0.04234592661892216,-0.05270324,47822,0.02771432303367544,0.02666761,Sean Murphy-Bunting,TB,CB,-1.2082963370141986,-2.7938716947701767,1.585575357755977,1122
Darious Williams,2021,CB,-33.55747461,-39.70335901,6.1458844,-0.04405263449714688,-0.05300849,46456,0.0201388146104212,0.01480936,Darious Williams,LA,CB,10.191874982756765,7.579285786567941,2.6125891961888237,1142
Aaron Donald,2019,IDL,-33.50914159,-27.37524672,-6.13389487,-0.03748656260545426,-0.04752647,41239,-0.02238090697032079,-0.01757563,Aaron Donald,LA,DI,-46.224263248585125,-43.23458997433252,-2.989673274252606,910
Luke Kuechly,2015,LB,-33.361568629999994,-24.308340459999997,-9.05322817,0.01673318338033138,-0.03762901,38539,-0.02807611689960481,-0.03007717,Luke Kuechly,CAR,LB,-87.7820135482088,-58.03371143449967,-29.748302113709123,986
Malcolm Jenkins,2017,S,-33.04148357,-32.786842699999994,-0.25464087,-0.05258161182712385,-0.04088135,34465,-0.01141673959451731,-7.2963e-4,Malcolm Jenkins,PHI,S,-7.834406884064712,-0.9452854448078813,-6.88912143925683,1186
James Bradberry,2022,CB,-32.883552019999996,-36.25845465,3.37490263,-0.05495231489356998,-0.04777135,43351,0.01847425963484401,0.00732083,James Bradberry,PHI,CB,-30.697772444582938,-36.09227624261226,5.394503798029322,1204
T.J. Watt,2020,EDGE,-32.47591035,-28.74205815,-3.7338522,-0.02594677230300776,-0.05669045,44842,-0.00630882502468939,-0.01082276,T.J. Watt,PIT,ED,-61.70968902018672,-48.52835549840658,-13.181333521780136,899
Robert Alford,2016,CB,-32.37448839,-37.80247863,5.42799024,-0.03444998063595991,-0.04186321,40008,0.0068693545257753,0.01381168,Robert Alford,ATL,CB,-2.1230058245547343,-6.233012329362684,4.110006504807952,1336
Derrick Johnson,2015,LB,-32.25113456,-24.00982848,-8.24130608,-0.01496869274289196,-0.03031544,29840,-0.03589516281193612,-0.02102374,Derrick Johnson,KC,LB,-45.43502794284504,-32.2549520086272,-13.180075934217843,1217
Michael Bennett,2015,IDL,-32.17607706,-20.34123642,-11.83484064,-0.02628874526113057,-0.03549954,34836,-0.03326518689057602,-0.03522274,Michael Bennett,SEA,ED,-30.810030064897717,-6.474243965168243,-24.335786099729475,969
Patrick Peterson,2015,CB,-31.49236394,-33.1873724,1.69500846,-0.0632554690840106,-0.04558705,37078,0.00409719649439469,0.00433506,Patrick Peterson,ARZ,CB,-12.986821368040257,-17.409363059800206,4.4225416917599505,1149
Tyrann Mathieu,2019,S,-31.2635781,-36.2724307,5.0088526,-0.04717134665097635,-0.0443971,40017,0.01997868771709366,0.01088881,Tyrann Mathieu,KC,S,-18.91368745767749,-28.20006785920945,9.286380401531963,1254
Aqib Talib,2015,CB,-31.1046657,-34.6887996,3.5841339,-0.03840407083186763,-0.04447282,33101,-0.0037750487117234,0.00874179,Aqib Talib,DEN,CB,-10.399153311455324,-13.733801930753842,3.334648619298521,1206
L'Jarius Sneed,2022,CB,-31.104363150000005,-40.5100594,9.40569625,-0.02509278205860544,-0.0495233,52546,0.03180309556695385,0.02213105,L'Jarius Sneed,KC,CB,-57.36259977672075,-46.55304174561437,-10.809558031106377,1248
Haason Reddick,2022,EDGE,-31.05133672,-27.17114368,-3.88019304,-0.04504423410700807,-0.05306864,44825,-0.0066160312170749,-0.01114998,Haason Reddick,PHI,ED,-35.64183619406916,-40.54021710655574,4.898380912486578,913
DeShon Elliott,2020,S,-31.000548870000003,-30.82901886,-0.17153001,-0.03114836244578172,-0.04045803,46259,0.00733872176967411,-4.4323e-4,DeShon Elliott,BLT,S,-1.8689924878002155,4.20077398864268,-6.069766476442895,1127
Tyson Campbell,2022,CB,-30.872174790000003,-37.25955667,6.38738188,-0.02958873212407496,-0.04710437,53462,0.02199332624598646,0.01319707,Tyson Campbell,JAX,CB,-36.638074734066684,-36.2932168297571,-0.3448579043095842,1297
Za'Darius Smith,2019,EDGE,-30.61265074,-28.93380534,-1.6788454000000002,-0.05462568472688094,-0.04871011,42465,0.00146254297429196,-0.00453742,Za'Darius Smith,GB,ED,-28.231443141101362,-26.592029071920262,-1.6394140691810966,975
Stephon Gilmore,2019,CB,-30.48082729999999,-36.067692959999995,5.58686566,-0.0537131569329688,-0.05566002,38540,0.00716159667607507,0.01560577,Stephon Gilmore,NE,CB,-46.17933552074082,-48.12522434188602,1.9458888211451915,1000
