pff_PLAYERNAME,Season,Position,TotalBoxPM,TotalPassBoxPM,TotalRunDBoxPM,PassPM,PassBoxPM,PlayerID,RunDPM,RunDBoxPM,PlayerName,team,position,TotalEPAR,PassEPAR,RunDEPAR,plays
Bobby Wagner,2019,LB,-10.31053958,-0.7118071,-9.59873248,-0.00441421551637161,-9.403e-4,38577,-0.02245471574578863,-0.02263852,Bobby Wagner,SEA,LB,-7.346286455829733,0.8728203090992432,-8.219106764928977,1173
D.J. Hayden,2015,CB,-10.310306400000002,-19.59920208,9.28889568,-0.04621063511149339,-0.03202484,39958,0.04516464665368097,0.03225311,D.J. Hayden,OAK,CB,14.510484236272562,12.177645587188108,2.332838649084454,1001
Jeremiah Attaochu,2015,EDGE,-10.30262033,-8.08274005,-2.21988028,-0.01109068753872509,-0.02099413,41279,-0.00313513166842925,-0.00909787,Jeremiah Attaochu,SD,ED,-24.885930196250413,-8.858882569509351,-16.027047626741066,695
Jordan Hicks,2016,LB,-10.30197602,-2.3545158,-7.947460220000001,-8.269235990946047e-4,-0.0038662,42427,-0.0244990899598174,-0.02195431,Jordan Hicks,PHI,LB,-39.64787366285801,-47.60404890819969,7.956175245341674,1024
Fred Warner,2021,LB,-10.29602506,-2.43412686,-7.8618982,-0.01339886513307003,-0.00334818,46139,-0.01299828024544499,-0.0177871,Fred Warner,SF,LB,-18.240669045284402,-12.640762900209687,-5.599906145074712,1152
Jourdan Lewis,2017,CB,-10.29276736,-14.9864544,4.6936870399999995,-0.01295454434539998,-0.03122178,44904,0.01782311532254438,0.01764544,Jourdan Lewis,DAL,CB,-7.908804749718364,-8.036999410276886,0.1281946605585228,731
Cory Littleton,2018,LB,-10.28418739,-1.40308819,-8.8810992,-0.0134210244886554,-0.00192997,43797,-0.02514847134139099,-0.0205581,Cory Littleton,LA,LB,-36.34709698388043,-37.73845855587836,1.3913615719979342,1153
Lardarius Webb,2016,S,-10.27737375,-14.3369941,4.05962035,-0.03803231415038529,-0.0220909,34539,0.01188343159381047,0.01163215,Lardarius Webb,BLT,S,2.3141554105518463,-0.4487921421129891,2.7629475526648344,1022
Deion Jones,2020,LB,-10.2690984,-2.7986763599999995,-7.47042204,0.01473138091326632,-0.00404433,43341,-0.02852022026804268,-0.02146673,Deion Jones,ATL,LB,-39.12583547590372,-26.879965103876472,-12.245870372027248,1018
Ken Crawley,2017,CB,-10.25565328,-15.91544782,5.659794539999999,-0.02177685582834283,-0.02510323,43942,0.01988285179789307,0.01699638,Ken Crawley,NO,CB,-14.935237070748187,-16.155189387850456,1.2199523171022688,1097
Avonte Maddox,2021,CB,-10.237920679999997,-20.239118639999997,10.00119796,-0.03116503334387915,-0.03797208,46194,0.0460124575863431,0.04049068,Avonte Maddox,PHI,CB,-21.378024371298867,-22.41390257767445,1.0358782063755827,781
Morgan Burnett,2015,S,-10.22684288,-10.92458048,0.6977376000000001,-0.02893865334262134,-0.02159008,35510,-8.127989960591178e-5,0.00221504,Morgan Burnett,GB,S,-16.82696919697459,-1.113480856221647,-15.713488340752948,866
Jimmie Ward,2015,CB,-10.2204038,-20.4908416,10.2704378,-0.04184297690025195,-0.0434128,41256,0.04483337202430107,0.0396542,Jimmie Ward,SF,CB,-12.58029516535866,-11.422877350079885,-1.1574178152787757,759
Will Parks,2017,S,-10.21129242,-8.22397899,-1.98731343,-0.03172026098904218,-0.02147253,43508,0.00819317142502988,-0.00933011,Will Parks,DEN,S,-4.1664528740136575,3.5929310119705633,-7.759383885984222,643
Zaven Collins,2022,LB,-10.21122068,-2.68965672,-7.521563960000001,-0.01373174603784871,-0.00422902,53445,-0.01489992256528896,-0.01933564,Zaven Collins,ARZ,LB,-6.518887480049039,-12.977770542385771,6.4588830623367315,1051
Yannick Ngakoue,2021,EDGE,-10.20801305,-12.07669505,1.868682,-0.02132118246202137,-0.02078605,43358,0.0088615537606022109,0.00622894,Yannick Ngakoue,LV,ED,-0.4628685409467439,-7.409272999035362,6.946404458088617,871
Byron Murphy Jr.,2021,CB,-10.16626896,-22.18029426,12.0140253,-0.04906181209390403,-0.03571706,47816,0.0218272532404947,0.02966426,Byron Murphy Jr.,ARZ,CB,-7.217838657076762,-13.92315599282808,6.705317335751319,1050
Carl Lawson,2022,EDGE,-10.15057896,-10.81759536,0.6670164,-0.03128945820703925,-0.02504073,44929,0.00792843320441842,0.0029514,Carl Lawson,NYJ,ED,-7.589251509323656,-13.605074581016689,6.015823071693033,662
Quinnen Williams,2022,IDL,-10.1485644,-4.4052918,-5.7432726,-0.03766168050993371,-0.01048879,47786,-0.02981019982231372,-0.02127138,Quinnen Williams,NYJ,DI,-43.7123483317619,-35.690709443456285,-8.021638888305617,690
Michael Davis,2020,CB,-10.14252656,-15.14809946,5.0055729,-0.01612573387062101,-0.02533127,45571,0.02092101575877481,0.0139431,Michael Davis,LAC,CB,-19.17494776057706,-16.696803161328212,-2.478144599248844,936
Jimmy Moreland,2020,CB,-10.14223721,-17.20278686,7.0605496500000005,-0.05611116811398722,-0.03756067,48010,0.0470559650529808,0.04279121,Jimmy Moreland,WAS,CB,-4.767174344496148,-4.799070141642166,0.031895797146018215,614
P.J. Williams,2017,CB,-10.12544525,-15.818485,5.6930397500000005,-0.04299869682115179,-0.03163697,42421,0.03088395991478772,0.02382025,P.J. Williams,NO,CB,-15.106426789888861,-9.485616846503845,-5.620809943385017,826
Christian Kirksey,2017,LB,-10.1252174,0.8956144,-11.0208318,0.00785558825115011,0.00147305,41300,-0.01711785136281927,-0.02395833,Christian Kirksey,CLV,LB,-15.414544726840877,-22.492441727866872,7.077897001025996,1117
Christian Jones,2019,EDGE,-10.11142091,-4.33147806,-5.77994285,-0.0390319172061053,-0.03437681,41947,-0.02471485720075627,-0.02249005,Christian Jones,DET,ED,5.27316358687083,-2.7500105765660834,8.023174163436913,634
Bobby McCain,2016,CB,-10.106229790000002,-16.649393760000002,6.54316397,-0.02050938456093266,-0.03404784,42488,0.03736661193868938,0.04064077,Bobby McCain,MIA,CB,-6.007175338141277,-10.644189892196499,4.637014554055223,734
Erik Walden,2015,EDGE,-10.09633606,-7.29339438,-2.80294168,0.00364628113584015,-0.02037261,33248,-0.0088430003660053,-0.00910046,Erik Walden,IND,ED,0.602870490695011,0.06538205209225088,0.5374884386027589,827
Lamarcus Joyner,2019,CB,-10.09445727,-20.41540527,10.320948,-0.04438418535419879,-0.04244367,41270,0.02850654588987355,0.04587088,Lamarcus Joyner,OAK,CB,7.351817031315692,9.756858863030248,-2.4050418317145557,714
Prince Amukamara,2019,CB,-10.09399972,-12.83354037,2.73954065,-0.02183067109443817,-0.02263411,37092,0.00139790006180001,0.00848155,Prince Amukamara,CHI,CB,-4.177361671615626,-3.1746487696528307,-1.002712901962796,867
Andre Hal,2015,S,-10.09000003,-11.51754664,1.42754661,-0.03389332468241436,-0.02294332,41445,0.00311037043591608,0.00497403,Andre Hal,HST,S,-7.87955000984958,-13.389767800885343,5.510217791035764,854
Andrew Sendejo,2015,S,-10.05427043,-11.48853251,1.43426208,-0.0195093005633204,-0.02155447,36712,1.040707604831323e-4,0.00481296,Andrew Sendejo,MIN,S,-1.8762513040524396,0.9492917444310203,-2.8255430484834583,1000
Nigel Bradham,2017,LB,-10.04667225,-1.186848,-8.859824249999999,0.01027235499943295,-0.0015216,38635,-0.02278725839955051,-0.02568065,Nigel Bradham,PHI,LB,-3.8703522408136823,-7.682991098565343,3.812638857751659,1161
Darqueze Dennard,2018,CB,-10.04649863,-17.73951607,7.693017440000001,-0.0381944018924065,-0.04115897,41250,0.0280405459878059,0.03152876,Darqueze Dennard,CIN,CB,-9.239482144145612,-3.28962911059523,-5.949853033550382,714
Benardrick McKinney,2019,LB,-10.03088692,-0.96114228,-9.06974464,-0.01594516115490286,-0.00151123,42386,-0.02730247079446831,-0.02576632,Benardrick McKinney,HST,LB,-5.614802011615607,0.22079554954936967,-5.8355975611649775,994
Orlando Scandrick,2016,CB,-10.02621814,-17.70980974,7.6835916,-0.03007103018531837,-0.03563342,33224,0.03579496480664786,0.0371188,Orlando Scandrick,DAL,CB,6.737258685269342,4.537943379285044,2.199315305984299,706
Samson Ebukam,2022,EDGE,-10.0172164,-9.27440476,-0.74281164,-0.02268836955801759,-0.02166917,44938,0.00478862387285211,-0.00304431,Samson Ebukam,SF,ED,-13.443385874997434,-7.497625228959781,-5.945760646037652,679
Prince Amukamara,2017,CB,-10.01305017,-12.58611129,2.57306112,-0.0621672525650571,-0.02453433,37092,0.00139790006180001,0.00765792,Prince Amukamara,CHI,CB,1.0318283628780873,3.221181675631699,-2.1893533127536116,846
Jairus Byrd,2015,S,-10.01277116,-11.8503214,1.83755024,-0.00769568942129217,-0.0230551,34493,0.01100452170622113,0.00620794,Jairus Byrd,NO,S,-0.8386445823140756,-5.827723646131473,4.989079063817398,794
Kyle Dugger,2021,S,-10.00067565,-9.96985374,-0.03082191,-0.04067895026497863,-0.02157977,52445,-0.0081400194227564,-9.723e-5,Kyle Dugger,NE,S,-28.38119271084232,-25.416977620084484,-2.9642150907578357,818
Malik Reed,2020,EDGE,-9.96087372,-6.54417192,-3.4167018,-0.01052934056560137,-0.01525448,48089,-0.01708627292915881,-0.01158204,Malik Reed,DEN,ED,1.982842125961895,2.5032888182113773,-0.5204466922494834,766
Adrian Amos,2015,S,-9.95916555,-13.07350572,3.11434017,-0.01487559644602821,-0.02115454,42485,0.00628486758775479,0.00757747,Adrian Amos,CHI,S,7.191086796924704,1.9634352295163693,5.227651567408334,1096
Denzel Ward,2019,CB,-9.92826372,-14.21499072,4.286727,-0.03735594463829104,-0.03172989,46073,0.02048954018530635,0.01428909,Denzel Ward,CLV,CB,-22.750937121079893,-26.987942669851126,4.237005548771234,748
Terrell Edmunds,2022,S,-9.91192884,-10.80512748,0.89319864,-0.01309359025757054,-0.02031039,46097,-0.00857001794791065,0.00252316,Terrell Edmunds,PIT,S,1.9169961954428882,0.517838342379622,1.3991578530632673,954
George Iloka,2017,S,-9.91125474,-11.01310374,1.101849,-0.03429286802272393,-0.01959627,38697,9.773788225546018e-5,0.0025865,George Iloka,CIN,S,-1.0707475597573408,5.017227366160923,-6.087974925918264,980
Christian Kirksey,2022,LB,-9.90266077,-0.2996455,-9.60301527,-0.00761847571124112,-4.9775e-4,41300,-0.0144122079985602,-0.01788271,Christian Kirksey,HST,LB,3.241798245768578,-13.285205616889003,16.527003862657583,1151
Morris Claiborne,2017,CB,-9.88003988,-15.21188178,5.331841900000001,-0.02326048952714438,-0.02848667,38536,0.01271601826888262,0.01384894,Morris Claiborne,NYJ,CB,-5.168696982928923,-3.1741560792106007,-1.9945409037183228,955
Daimion Stafford,2016,S,-9.87768369,-8.61659577,-1.2610879199999998,-0.00418022329524397,-0.02148777,40196,-9.274902346555656e-4,-0.00597672,Daimion Stafford,TEN,S,-4.44398211659816,3.917767856922438,-8.361749973520597,665
Jourdan Lewis,2020,CB,-9.873125580000002,-22.3379517,12.46482612,-0.05094140056513279,-0.04345905,44904,0.05508306561143761,0.04113804,Jourdan Lewis,DAL,CB,0.5480890631686182,3.603485551992762,-3.0553964888241456,804
Eric Kendricks,2016,LB,-9.86597273,-2.52143705,-7.34453568,-0.03184364224629509,-0.00462649,42388,-0.02638546011011704,-0.02266832,Eric Kendricks,MIN,LB,-33.62013163939294,-28.24842816741883,-5.37170347197411,859
Darius Slay,2016,CB,-9.85552992,-13.6468758,3.79134588,-0.01694900040519277,-0.02675858,39984,0.01921232314948914,0.01302868,Darius Slay,DET,CB,-16.46494941439073,-14.521050438128993,-1.9438989762617376,827
Cole Holcomb,2021,LB,-9.84848122,-1.40484404,-8.44363718,0.00520171831719702,-0.00217132,47956,-0.02260496104392767,-0.02257657,Cole Holcomb,WAS,LB,-6.585758931062253,-0.5514885732805163,-6.034270357781738,1025
D.J. Swearinger Sr.,2016,S,-9.838046390000002,-10.009265630000002,0.17121924,-0.02761289379891841,-0.01877911,40005,0.00384633479275257,5.5954e-4,D.J. Swearinger Sr.,ARZ,S,-21.255285586600024,-16.56368790880261,-4.6915976777974135,855
Michael Bennett,2019,IDL,-9.83068831,-5.66743342,-4.16325489,-0.00241341212183542,-0.01468247,34836,-0.02103069754925592,-0.02492967,Michael Bennett,NE,DI,-22.250150849994938,-12.665726674034147,-9.584424175960791,557
Jonathan Jones,2020,CB,-9.8236385,-20.59977227,10.77613377,-0.03931191809912632,-0.04567577,43700,0.04427134454651244,0.03890301,Jonathan Jones,NE,CB,-11.476481751286094,-10.757690905925866,-0.71879084536023,712
Darius Slay,2018,CB,-9.81869385,-15.69845816,5.8797643100000005,-0.01684172707290384,-0.02950838,39984,0.01921232314948914,0.01714217,Darius Slay,DET,CB,-17.662540728552525,-22.89498849180027,5.232447763247743,933
C.J. Mosley,2021,LB,-9.81801416,2.5997281,-12.41774226,-0.01532865647087623,0.00409406,41243,-0.03356170440460024,-0.02687823,C.J. Mosley,NYJ,LB,-5.785140904256882,3.277905046369947,-9.06304595062683,1115
Nasir Adderley,2021,S,-9.81514164,-11.0488716,1.23372996,-0.03946308234996564,-0.01888696,47843,0.00420962941041861,0.00306898,Nasir Adderley,LAC,S,4.660858376106428,7.93215696861407,-3.271298592507642,989
Steven Nelson,2021,CB,-9.80729339,-15.82659608,6.01930269,-0.04691866200888043,-0.02516152,42441,0.01239359594579678,0.01423003,Steven Nelson,PHI,CB,3.0733123414484274,-2.276545448054344,5.349857789502771,1045
Khari Willis,2019,S,-9.80647583,-10.05987541,0.25339958,-0.01624832566604794,-0.02496247,47892,-0.00250828443447314,0.00116774,Khari Willis,IND,S,-10.322785326857149,-1.0673944335691485,-9.255390893288,670
Dont'a Hightower,2015,LB,-9.80588352,-3.0387636,-6.767119920000001,-0.00814293247874508,-0.0066204,38555,-0.02151847337650204,-0.02563303,Dont'a Hightower,NE,LB,-26.14689616811129,-19.374949631845382,-6.771946536265909,737
Tavierre Thomas,2021,CB,-9.79709247,-19.79197185,9.99487938,-0.0309829298462607,-0.04792245,46672,0.04182780418187777,0.04422513,Tavierre Thomas,HST,CB,-36.06280294466736,-24.484204716990508,-11.578598227676851,673
Danny Trevathan,2015,LB,-9.7954751,0.0346788,-9.8301539000000009,0.01020620204662561,6.76e-5,38718,-0.03480559186271912,-0.0263543,Danny Trevathan,DEN,LB,-40.981481347726316,-18.530800043911192,-22.450681303815127,877
Brandon Marshall,2015,LB,-9.79144452,-2.7830836,-7.008360919999999,0.00194342364028381,-0.00409277,38672,-0.02081036299334936,-0.01721956,Brandon Marshall,DEN,LB,-22.308237907930373,-5.963369039341335,-16.344868868589035,1092
Trevon Diggs,2020,CB,-9.75798714,-12.32108436,2.56309722,-0.04638123335388027,-0.02775019,52459,0.00437911358843306,0.00816273,Trevon Diggs,DAL,CB,-12.069222712037606,-14.45295928746226,2.383736575424654,736
Frankie Luvu,2022,LB,-9.75570528,2.60479032,-12.3604956,-4.950013470804929e-4,0.00464312,46527,-0.02679048662094496,-0.03252762,Frankie Luvu,CAR,LB,-56.084564487582206,-21.238984568786016,-34.84557991879619,948
Captain Munnerlyn,2018,CB,-9.73296852,-18.07723828,8.34426976,-0.04686013921511833,-0.03999389,34667,0.05648543988739892,0.04687792,Captain Munnerlyn,CAR,CB,-10.89198575563735,-11.439917963021788,0.5479322073844355,664
Henry Anderson,2018,IDL,-9.72559969,-4.48999767,-5.23560202,-0.01978617947875235,-0.00978213,42436,-0.02035548926240191,-0.02657666,Henry Anderson,NYJ,DI,-25.70936094442739,-16.478795695266204,-9.23056524916119,715
Gareon Conley,2019,CB,-9.70411417,-13.77287362,4.06875945,-0.03687920993327574,-0.02362414,44836,0.00400622199746552,0.01236705,Gareon Conley,OAK,CB,-6.506931895780795,-10.233401245126874,3.726469349346078,908
Maxx Crosby,2019,EDGE,-9.68078693,-8.77283394,-0.90795299,-0.01045611167384113,-0.01823874,47889,-0.01223312569297614,-0.00350561,Maxx Crosby,OAK,ED,-36.80133415773255,-21.922395761521976,-14.878938396210572,748
Alec Ogletree,2018,LB,-9.676885680000002,-2.4219888000000003,-7.25489688,-0.02610488773173754,-0.0045871,39976,-0.01174511742381919,-0.02032184,Alec Ogletree,NYG,LB,-7.687498987749079,-11.464494554563682,3.776995566814604,916
Julius Peppers,2016,EDGE,-9.65407686,-9.3238437,-0.33023315999999997,-0.01388986835703785,-0.01922442,27132,0.00372525253474835,-0.00161879,Julius Peppers,GB,ED,-7.34207159609449,-12.563818897243376,5.221747301148886,708
Demarcus Lawrence,2019,EDGE,-9.65169267,-7.26143007,-2.3902626,-0.00985885996157547,-0.01639149,41263,-0.01700710803916002,-0.01086483,Demarcus Lawrence,DAL,ED,-25.459072063903456,-14.499089659976244,-10.959982403927212,661
Paulson Adebo,2021,CB,-9.641623930000002,-13.53116353,3.8895396,-0.06076189747914965,-0.02345089,53505,0.01021810406213444,0.0141954,Paulson Adebo,NO,CB,-2.253842194874289,-1.3123576705607625,-0.9414845243135262,907
NaVorro Bowman,2015,LB,-9.63690835,2.07359285,-11.7105012,0.02274745207879292,0.00329665,35530,-0.03309279396510749,-0.02491596,NaVorro Bowman,SF,LB,-18.706381474873055,7.815736129256926,-26.52211760412998,1117
Justin Reid,2018,S,-9.6293065,-12.65766282,3.02835632,-0.03973297952016728,-0.02018766,46137,0.00777587882536909,0.00949328,Justin Reid,HST,S,-17.83128286465712,-16.70797789535881,-1.1233049692983135,1008
Justin Reid,2020,S,-9.6283626,-12.3459927,2.7176301,-0.01975562651669434,-0.0246427,46137,0.00433951938400997,0.0070223,Justin Reid,HST,S,-12.291692121921683,-9.336441523560694,-2.9552505983609896,865
Sam Hubbard,2021,EDGE,-9.61901091,-5.0649435899999995,-4.55406732,-0.00746922786687874,-0.00741573,46146,-0.01700710803916002,-0.01254564,Sam Hubbard,CIN,ED,-23.31265786834919,-10.623606585858248,-12.689051282490945,1119
Frank Clark,2016,EDGE,-9.61741533,-9.08413587,-0.53327946,-0.01503607508475509,-0.01904431,42406,-0.00544071391946119,-0.00200481,Frank Clark,SEA,ED,-16.291683679632786,-14.993343613698793,-1.2983400659339932,841
Shaquill Griffin,2017,CB,-9.60623872,-12.01706336,2.41082464,-0.0332826209147776,-0.02209019,44902,0.00754519919953212,0.00726152,Shaquill Griffin,SEA,CB,-20.84299366034484,-18.30563476006942,-2.5373589002754167,942
Alec Ogletree,2016,LB,-9.59210915,1.2812377,-10.87334685,-0.00673781963664312,0.00187042,39976,-0.02964729080761608,-0.02684777,Alec Ogletree,LA,LB,-15.71011706768941,-4.816300608656396,-10.89381645903301,1114
Will Parks,2018,S,-9.59154162,-8.69028174,-0.90125988,-0.00465316757853384,-0.02342394,43508,-0.00460433164692457,-0.00448388,Will Parks,DEN,S,-11.131754348578427,-12.429805562380587,1.2980512138021574,652
Micah Hyde,2015,S,-9.5818383,-10.78874963,1.20691133,-0.03558253680029403,-0.02215349,40107,0.01693922847478297,0.00531679,Micah Hyde,GB,S,4.983038245695463,-7.37357986093551,12.356618106630968,768
Rodney McLeod,2021,S,-9.56977857,-10.24249221,0.67271364,-0.03392228569601259,-0.02147273,38843,-0.00246089153774321,0.00241116,Rodney McLeod,PHI,S,-8.82888486115707,-7.794555161021798,-1.0343297001352705,738
Damar Hamlin,2022,S,-9.54742313,-11.07324968,1.52582655,-0.03063780898962829,-0.02020666,53641,0.00702434346481189,0.00500271,Damar Hamlin,BUF,S,-7.087835373518329,0.6974570464564663,-7.7852924199747955,945
Joe Tryon-Shoyinka,2021,EDGE,-9.5439888,-8.29999332,-1.24399548,-0.04183037584550048,-0.02231181,53461,-0.00780797277809016,-0.00736092,Joe Tryon-Shoyinka,TB,ED,-3.3282139413601164,-2.204802110017215,-1.1234118313429018,681
Jeremy Lane,2016,CB,-9.5294789,-19.2897824,9.7603035,-0.04397819013499844,-0.03444604,38702,0.03141396850088923,0.03148485,Jeremy Lane,SEA,CB,27.843653762421166,25.385187569087854,2.4584661933333134,933
Lavonte David,2017,LB,-9.52723038,-0.1996725,-9.32755788,0.01381265785580429,-4.2125e-4,38588,-0.01642680455337797,-0.02751491999999999,Lavonte David,TB,LB,-40.58870925621618,-18.83585530754414,-21.75285394867204,875
Lavonte David,2016,LB,-9.5050213,-1.0503369,-8.4546844,0.011881457944729,-0.0016593,38588,-0.01611040291834194,-0.0206716,Lavonte David,TB,LB,-11.266940646195637,-17.561904658028784,6.294964011833147,1105
Dre Kirkpatrick,2016,CB,-9.49882526,-16.2511848,6.75235954,-0.0241772459963513,-0.0257139,38547,0.02668091225174465,0.01951549,Dre Kirkpatrick,CIN,CB,-13.587117465220174,-12.774657265226809,-0.8124601999933646,1008
Brandon Stephens,2021,S,-9.4971765,-10.03373384,0.53655734,0.00445387235233301,-0.02056093,53533,0.01016888336233622,0.00212078,Brandon Stephens,BLT,S,23.64238676274291,20.53139538753607,3.110991375206841,824
Lavonte David,2018,LB,-9.4925052,1.1132232,-10.6057284,0.01335792129223133,0.0020022,38588,-0.01642680455337797,-0.0289774,Lavonte David,TB,LB,-11.633690865408857,-4.541105138733547,-7.092585726675309,971
Lavonte David,2022,LB,-9.48837584,-0.2409704,-9.24740544,0.01062863345286618,-3.4672e-4,38588,-0.01592708032117438,-0.02064153,Lavonte David,TB,LB,-28.98743953536423,-37.796458551305086,8.809019015940855,1123
Jordan Hicks,2019,LB,-9.47597977,-2.3678074,-7.10817237,-0.00740390388235706,-0.00333494,42427,-0.01212988672800542,-0.01680419,Jordan Hicks,ARZ,LB,-8.810487813913321,1.870870982335512,-10.68135879624883,1144
Avonte Maddox,2018,CB,-9.472209929999998,-13.5934397,4.12122977,-0.02467676558426679,-0.0275729,46194,0.04316548731052161,0.02302363,Avonte Maddox,PHI,CB,-10.617001708458831,-9.058121442773905,-1.5588802656849237,745
Marco Wilson,2022,CB,-9.46132134,-11.8279638,2.36664246,-0.03132678532132051,-0.02257245,53565,0.01991107417275559,0.00931749,Marco Wilson,ARZ,CB,-7.152944414187861,-6.741680004914795,-0.4112644092730655,806
Julius Peppers,2015,EDGE,-9.45672022,-8.43740906,-1.01931116,-0.00672012213674718,-0.01711442,27132,0.0036226798567957,-0.00428282,Julius Peppers,GB,ED,-10.347987060172445,-19.384671472979328,9.036684412806883,809
Reggie Nelson,2017,S,-9.44230626,-15.13168351,5.68937725,-0.02553333004559555,-0.02517751,32214,0.01552140305613736,0.01338677,Reggie Nelson,OAK,S,1.2974172916452955,2.7780151760956966,-1.480597884450399,1086
Fabian Moreau,2021,CB,-9.43727137,-11.86123182,2.42396045,-0.04000196533999763,-0.01986806,44893,0.00340285270353296,0.00552155,Fabian Moreau,ATL,CB,14.294585709596683,11.549171975554309,2.7454137340423754,1036
Michael Jackson,2022,CB,-9.43550038,-12.30380886,2.86830848,-0.03678340970680847,-0.01889986,47941,0.00651514396709681,0.00578288,Michael Jackson,SEA,CB,-19.175636886112525,-14.316839448603272,-4.858797437509254,1258
Earl Thomas III,2016,S,-9.43523816,-12.83376224,3.39852408,-0.01719910990464268,-0.03085039,35453,0.01142706355516506,0.01226904,Earl Thomas III,SEA,S,-14.262625022279016,-20.605308353382963,6.342683331103948,760
Kenny Moore II,2019,CB,-9.42291015,-15.00668814,5.58377799,-0.0494971609674719,-0.03733007,45287,0.02156627468582199,0.02438331,Kenny Moore II,IND,CB,-29.610665875346264,-19.15461119910693,-10.456054676239333,629
Ryan Kerrigan,2017,EDGE,-9.42250782,-8.94491922,-0.4775886,-0.02549777952372258,-0.02042219,37089,-0.00696732587104743,-0.0014342,Ryan Kerrigan,WAS,ED,-27.122119377506255,-30.67737900509242,3.5552596275861643,835
Greg Newsome II,2022,CB,-9.412853879999998,-19.6267118,10.21385792,-0.02914497530534914,-0.03811012,53455,0.0191713877302098,0.02605576,Greg Newsome II,CLV,CB,-5.667961531856606,-10.218051931670072,4.550090399813468,885
Quintin Demps,2015,S,-9.41274432,-11.52765432,2.11491,-0.03016974724077282,-0.02221128,33198,0.00271698807895827,0.0070497,Quintin Demps,HST,S,-2.5543029007897564,-10.135776431498803,7.5814735307090455,854
Anthony Brown,2016,CB,-9.40055984,-14.88820986,5.48765002,-0.01335591793325679,-0.02803806,43478,0.02179155009975138,0.02600782,Anthony Brown,DAL,CB,-2.2859749847433504,-4.355382228224046,2.0694072434806965,850
Jihad Ward,2019,IDL,-9.39041331,-6.05685363,-3.33355968,-0.02810295867724686,-0.02081393,43333,-0.02503948013650553,-0.02755008,Jihad Ward,IND,DI,2.455908736550991,-2.847681775308582,5.303590511859571,493
Eric Weddle,2015,S,-9.39024464,-10.16107008,0.7708254400000001,-0.02650741007841477,-0.02268096,32230,-0.00404047606247918,0.00253561,Eric Weddle,SD,S,-9.020010347007823,-9.290364937284192,0.27035459027636843,748
Steven Nelson,2019,CB,-9.38891787,-15.57909405,6.19017618,-0.04691866200888043,-0.02663093,42441,0.01239359594579678,0.01453093,Steven Nelson,PIT,CB,-16.735159251218153,-15.225539412828391,-1.509619838389761,1037
Robert Alford,2015,CB,-9.38821611,-15.45457995,6.066363839999999,-0.03408607833134647,-0.02784609,40008,0.0068693545257753,0.01743208,Robert Alford,ATL,CB,-6.102761223541102,-6.028184322628119,-0.07457690091298544,961
Tavon Wilson,2016,S,-9.38673273,-10.12189122,0.73515849,-0.01040034968527307,-0.02332233,38578,-0.00545700510343941,0.00215589,Tavon Wilson,DET,S,-15.239164732226394,-4.851426690398511,-10.387738041827884,850
Da'Norris Searcy,2015,S,-9.37728525,-11.7773803,2.40009505,-0.02925813925731174,-0.02403547,37175,0.011105800858205171,0.00607619,Da'Norris Searcy,TEN,S,9.11677428548075,1.465389773282419,7.65138451219833,909
Dawuane Smoot,2020,EDGE,-9.37281397,-8.16867701,-1.20413696,-0.02400893248475294,-0.02026967,44880,-0.01103416020436151,-0.00470366,Dawuane Smoot,JAX,ED,19.883836088528128,9.856378565628196,10.027457522899931,653
Amani Hooker,2021,S,-9.36857723,-10.92083954,1.55226231,-0.03760770038373,-0.02048938,47899,-0.00264829828893818,0.00654963,Amani Hooker,TEN,S,-14.019398567274143,-15.298220844389379,1.278822277115238,797
Logan Ryan,2018,CB,-9.3679191,-20.3741892,11.0062701,-0.04860396221877343,-0.03772998,40031,0.03582317847148783,0.03494054,Logan Ryan,TEN,CB,-23.394673649819925,-21.10708212215623,-2.2875915276636967,885
Brandon Graham,2020,EDGE,-9.35803874,-6.21489812,-3.14314062,-0.00963490709920689,-0.01452079,35452,-0.01663249100734093,-0.00988409,Brandon Graham,PHI,ED,-19.850453279371333,-16.005906024457612,-3.844547254913718,736
Landon Collins,2021,S,-9.3443015,-9.443109,0.0988075,-0.01241908661077814,-0.02221908,42376,-0.0036581833737299,3.9523e-4,Landon Collins,WAS,S,-15.495598805282386,-4.757516790601062,-10.738082014681321,680
Dont'a Hightower,2018,LB,-9.3419856,-1.73061258,-7.61137302,-0.00814293247874508,-0.00279582,38555,-0.02151847337650204,-0.02334777,Dont'a Hightower,NE,LB,9.451722546541317,-2.2621620267198046,11.713884573261124,988
Joe Schobert,2019,LB,-9.34124784,-1.5065901000000002,-7.83465774,0.00346594030370475,-0.00244974,43388,-0.0132632335919976,-0.01772547,Joe Schobert,CLV,LB,-35.867154410371526,-31.840402682209298,-4.026751728162227,1072
James Harrison,2016,EDGE,-9.32850054,-4.0885992,-5.23990134,-5.489750469081416e-4,-0.01216845,27498,-0.0160113872612475,-0.02156338,James Harrison,PIT,ED,-52.86246839333338,-42.10709891234078,-10.755369480992597,781
Barry Church,2018,S,-9.315313,-7.42759875,-1.88771425,-0.02866842570943764,-0.01833975,35929,0.00499266073329438,-0.00712345,Barry Church,JAX,S,0.35769463202279644,5.269688774110735,-4.911994142087939,694
